ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000170049.10,KCNAB3,15.10268843,13.70777743,3.739647599,14.86173448,21.35449809,26.1157125,12.89864077,7.744373538,3.832675766,13.00757002
ENSG00000170043.12,TRAPPC1,878.7018722,831.034007,983.5273185,768.2373516,724.8665739,667.0388234,737.9380273,838.504444,845.7437857,802.1334844
ENSG00000170037.14,CNTROB,628.8210273,709.3774822,661.917625,785.3855068,659.6167186,1006.543086,613.7037504,708.9621957,586.3993922,731.3144921
ENSG00000179593.16,ALOX15B,364.5239798,478.6298954,1241.563003,1972.037845,142.3633206,573.4575202,84.18060293,239.3715457,176.3030852,763.1107744
ENSG00000179148.10,ALOXE3,32.26483437,16.5635644,18.69823799,40.01236206,14.23633206,6.528928124,23.08177822,15.48874708,33.2165233,28.90571115
ENSG00000179094.16,PER1,979.6152903,2006.475922,2122.250012,2568.793644,514.8806761,1092.507306,814.6509961,1222.202951,646.4446458,1847.074942
ENSG00000220205.10,VAMP2,825.1559768,757.9258606,981.6574947,692.7854689,982.3069119,957.5761249,811.256617,718.1146372,817.6374967,777.5636299
ENSG00000179029.15,TMEM107,172.3079452,192.4800415,220.6392083,161.1926586,115.0770175,128.4022531,134.4174144,133.766452,176.3030852,109.8417024
ENSG00000196544.8,BORCS6,298.6213394,409.5198508,456.237007,326.9581586,211.1722588,411.3224718,340.1167909,451.989801,305.3365027,362.7666749
ENSG00000178999.13,AURKB,14.41620259,17.70587919,50.48524258,84.5975655,94.90888038,117.5207062,5.431006641,33.08959603,43.43699201,26.01514003
ENSG00000178977.4,LINC00324,15.10268843,21.70398094,3.739647599,9.145682757,24.9135811,38.08541406,10.18313745,16.19278103,12.77558589,5.78114223
ENSG00000178971.17,CTC1,377.5672107,308.9961497,416.9707073,394.4075689,475.7307629,422.2040187,312.9617577,329.4878923,335.9979088,345.4232482
ENSG00000178921.14,PFAS,326.0807729,244.4553642,364.6156409,371.543362,453.1899038,415.6750906,268.1559529,249.9320551,329.6101159,310.7363949
ENSG00000125434.11,SLC25A35,302.7402544,318.7058253,252.4262129,235.501331,351.1628574,426.5566374,168.3612059,152.0713349,237.6258975,277.494827
ENSG00000108961.14,RANGRF,198.3944071,173.0606901,194.4616751,211.4939138,205.2404538,217.6309375,154.7836893,197.1295082,214.6298429,167.6531247
ENSG00000184619.8,KRBA2,174.3674028,185.0549954,229.9883273,190.9161276,257.440338,207.8375453,160.2146959,113.3494672,205.6869328,137.302128
ENSG00000161970.15,RPL26,451.0211953,289.0056409,428.1896501,348.6791551,347.6037744,340.5924171,376.7760857,261.1965984,406.2636312,403.2346705
ENSG00000166579.16,NDEL1,1727.198368,1734.033845,1675.362124,1807.415555,1724.968901,1748.664583,1896.100193,1784.726084,1787.304465,1849.965514
ENSG00000133026.14,MYH10,1487.61481,1667.20843,1854.865209,2150.378658,1365.501516,1391.749845,1358.430536,1482.695516,1443.641205,1962.697787
ENSG00000185156.6,MFSD6L,18.53511762,2.855786965,0,0,18.98177608,18.49862969,23.76065405,26.04925645,5.110234354,21.67928336
ENSG00000065320.9,NTN1,3601.99119,4786.870112,2763.599575,2896.895013,1370.24696,1653.995125,1071.26606,1280.63777,3586.106958,3071.23181
ENSG00000170310.15,STX8,529.9670667,480.914525,575.9057302,538.4520723,568.2669213,681.1848343,478.6074602,536.473876,457.3659747,440.812095
ENSG00000271851.1,lncRNA*10320,31.57834853,14.27893483,37.39647599,24.00741724,21.35449809,13.05785625,27.83390903,30.97749415,10.22046871,31.79628226
ENSG00000166596.15,CFAP52,197.7079212,584.8651705,14.95859039,4.572841379,4.745444019,9.793392186,16.29301992,13.3766452,422.8718928,15.89814113
ENSG00000154914.17,USP43,635.6858857,743.6469258,618.9116776,712.2200447,482.8489289,496.1985374,573.6500764,642.7830036,576.1789235,731.3144921
ENSG00000007237.19,GAS7,91.30261641,223.8936981,5.609471398,8.002472413,15.42269306,9.793392186,66.52983135,59.13885247,176.3030852,43.35856672
ENSG00000109063.15,MYH3,39.12969275,40.55217491,35.52665219,33.1531,28.47266411,38.08541406,45.48468062,22.52908666,29.38384754,15.89814113
ENSG00000133028.12,SCO1,1200.66373,1276.536774,1181.728641,1227.80791,1411.769596,1190.441228,1345.531895,1284.861973,1305.664878,1365.794852
ENSG00000170222.12,ADPRM,89.92964473,94.81212725,87.88171857,75.45188275,94.90888038,87.05237499,80.78622378,80.96390517,100.9271285,95.38884679
ENSG00000187824.9,TMEM220,65.21615458,119.3718952,5.609471398,9.145682757,32.03174713,69.64189999,27.1550332,30.97749415,112.4251558,36.13213894
ENSG00000007174.18,DNAH9,136.6106817,379.8196664,1.869823799,9.145682757,13.04997105,9.793392186,12.89864077,14.78471312,328.3325573,15.89814113
ENSG00000154957.14,ZNF18,200.4538646,218.7532816,181.3729085,139.471662,253.881255,278.5676,171.0767092,168.264116,175.0255266,211.0116914
