"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000115310.19","RTN4",7440.1443087557,-0.0457087703982408,0.203819466917371,-0.224261063428113,0.822554171481668,0.999090242992625
"ENSG00000148248.14","SURF4",6417.85662177358,-0.0226156960941854,0.100850568850035,-0.224249564004095,0.822563118858278,0.999090242992625
"ENSG00000122643.23","NT5C3A",510.038400515825,-0.0257813361767879,0.11497593000658,-0.224232464789042,0.822576423316587,0.999090242992625
"ENSG00000138767.14","CNOT6L",1160.23375822478,0.0294397013967599,0.131355130657981,0.224122965348146,0.822661623217103,0.999090242992625
"ENSG00000163209.15","SPRR3",2363.51102160068,0.173853611972175,0.775855857775279,0.224079782642475,0.822695223618652,0.999090242992625
"ENSG00000196781.16","TLE1",1320.65382753324,0.0287060264253998,0.128168028309106,0.223971818901424,0.822779231473699,0.999090242992625
"ENSG00000127527.14","EPS15L1",961.118863971455,0.0229061183540464,0.10229356843516,0.223925303461926,0.822815426309743,0.999090242992625
"ENSG00000181856.15","SLC2A4",16.4989419147493,0.114799840676057,0.512670939895148,0.223925000897331,0.822815661744116,0.999090242992625
"ENSG00000170310.15","STX8",528.795055571991,-0.0287133104560132,0.128243748522666,-0.223896375353831,0.82283793619002,0.999090242992625
"ENSG00000245848.3","CEBPA",802.928143992973,0.0692287107282944,0.309237714434004,0.223868912157119,0.822859306311099,0.999090242992625
"ENSG00000232855.7","lncRNA*12409",48.3639028822567,0.0878275580748003,0.392354080629475,0.223847698828298,0.822875813270585,0.999090242992625
"ENSG00000173762.8","CD7",62.7377266684101,0.0661094832326888,0.295350478055672,0.223834014652339,0.822886461529626,0.999090242992625
"ENSG00000110435.13","PDHX",942.214485358286,-0.0235204556818325,0.105084799615694,-0.223823576462527,0.822894583966042,0.999090242992625
"ENSG00000105971.15","CAV2",5426.01404146968,-0.0423197642476342,0.189076925942574,-0.223822997103768,0.82289503479234,0.999090242992625
"ENSG00000253716.8","MINCR",31.2564007649915,0.108583845380177,0.485219082699725,0.223783130655177,0.822926056891428,0.999090242992625
"ENSG00000183778.19","B3GALT5",282.837074131542,-0.0712370361550503,0.318487150491143,-0.223673187584475,0.823011610586814,0.999090242992625
"ENSG00000105711.14","SCN1B",17.4218120338893,-0.135515375072872,0.606002533443404,-0.223621796270144,0.823051602158467,0.999090242992625
